,Year,Rank,Title,Artist
0,2006,1,Bad Day,Daniel Powter
1,2006,2,Temperature,Sean Paul
2,2006,3,Promiscuous,Nelly Furtado Featuring Timbaland
3,2006,4,You're Beautiful,James Blunt
4,2006,5,Hips Don't Lie,Shakira Featuring Wyclef Jean
5,2006,6,Unwritten,Natasha Bedingfield
6,2006,7,Crazy,Gnarls Barkley
7,2006,8,Ridin',Chamillionaire Featuring Krayzie Bone
8,2006,9,SexyBack,Justin Timberlake
9,2006,10,Check On It,Beyonce Featuring Slim Thug
10,2006,11,Be Without You,Mary J. Blige
11,2006,12,Grillz,"Nelly Featuring Paul Wall, Ali & Gipp"
12,2006,13,Over My Head (Cable Car),The Fray
13,2006,14,Me & U,Cassie
14,2006,15,Buttons,The Pussycat Dolls Featuring Snoop Dogg
15,2006,16,Run It!,Chris Brown
16,2006,17,So Sick,Ne-Yo
17,2006,18,It's Goin' Down,Yung Joc
18,2006,19,SOS,Rihanna
19,2006,20,I Write Sins Not Tragedies,Panic! At The Disco
20,2006,21,Move Along,The All-American Rejects
21,2006,22,London Bridge,Fergie
22,2006,23,Dani California,Red Hot Chili Peppers
23,2006,24,Snap Yo Fingers,Lil Jon Featuring E-40 & Sean Paul Of The YoungBloodZ
24,2006,25,"Lean Wit It, Rock Wit It",Dem Franchize Boyz Featuring Lil Peanut & Charlay
25,2006,26,What Hurts The Most,Rascal Flatts
26,2006,27,How To Save A Life,The Fray
27,2006,28,Unfaithful,Rihanna
28,2006,29,Chasing Cars,Snow Patrol
29,2006,30,Lips Of An Angel,Hinder
30,2006,31,Everytime We Touch,Cascada
31,2006,32,Ain't No Other Man,Christina Aguilera
32,2006,33,"Dance, Dance",Fall Out Boy
33,2006,34,Gold Digger,Kanye West Featuring Jamie Foxx
34,2006,35,Money Maker,Ludacris Featuring Pharrell
35,2006,36,Ms. New Booty,Bubba Sparxxx Featuring Ying Yang Twins & Mr. ColliPark
36,2006,37,(When You Gonna) Give It Up To Me,Sean Paul Featuring Keyshia Cole
37,2006,38,Photograph,Nickelback
38,2006,39,Because Of You,Kelly Clarkson
39,2006,40,Stickwitu,The Pussycat Dolls
40,2006,41,I'm N Luv (Wit A Stripper),T-Pain Featuring Mike Jones
41,2006,42,My Humps,The Black Eyed Peas
42,2006,43,Where'd You Go,Fort Minor Featuring Holly Brook
43,2006,44,Yo (Excuse Me Miss),Chris Brown
44,2006,45,Walk Away,Kelly Clarkson
45,2006,46,Laffy Taffy,D4L
46,2006,47,What You Know,T.I.
47,2006,48,Dirty Little Secret,The All-American Rejects
48,2006,49,Savin' Me,Nickelback
49,2006,50,Don't Forget About Us,Mariah Carey
50,2006,51,Sexy Love,Ne-Yo
51,2006,52,U And Dat,E-40 Featuring T-Pain & Kandi Girl
52,2006,53,Far Away,Nickelback
53,2006,54,What's Left Of Me,Nick Lachey
54,2006,55,So What,Field Mob Featuring Ciara
55,2006,56,Do It To It,Cherish Featuring Sean Paul Of The YoungBloodZ
56,2006,57,Black Horse & The Cherry Tree,KT Tunstall
57,2006,58,There It Go! (The Whistle Song),Juelz Santana
58,2006,59,Shoulder Lean,Young Dro Featuring T.I.
59,2006,60,Unpredictable,Jamie Foxx Featuring Ludacris
60,2006,61,My Love,Justin Timberlake Featuring T.I.
61,2006,62,Shake That,Eminem Featuring Nate Dogg
62,2006,63,Pullin' Me Back,Chingy Featuring Tyrese
63,2006,64,Bossy,Kelis Featuring Too $hort
64,2006,65,Chain Hang Low,Jibbs
65,2006,66,Smack That,Akon Featuring Eminem
66,2006,67,One Wish,Ray J
67,2006,68,"Sugar, We're Goin' Down",Fall Out Boy
68,2006,69,Gimme That,Chris Brown Featuring Lil Wayne
69,2006,70,I Know You See It,Yung Joc Featuring Brandy 'Ms. B.' Hambrick
70,2006,71,Who Says You Can't Go Home,Bon Jovi
71,2006,72,Too Little Too Late,JoJo
72,2006,73,Touch It,Busta Rhymes
73,2006,74,Rompe,Daddy Yankee
74,2006,75,Deja Vu,Beyonce Featuring Jay Z
75,2006,76,Life Is A Highway,Rascal Flatts
76,2006,77,Call Me When You're Sober,Evanescence
77,2006,78,"Jesus, Take The Wheel",Carrie Underwood
78,2006,79,Show Stopper,Danity Kane
79,2006,80,Get Up,Ciara Featuring Chamillionaire
80,2006,81,We Be Burnin',Sean Paul
81,2006,82,Hate Me,Blue October
82,2006,83,You And Me,Lifehouse
83,2006,84,Beep,The Pussycat Dolls Featuring will.i.am
84,2006,85,I Think They Like Me,"Dem Franchize Boyz Featuring Jermaine Dupri, Da Brat & Bow Wow"
85,2006,86,Say Goodbye,Chris Brown
86,2006,87,Waiting On The World To Change,John Mayer
87,2006,88,Soul Survivor,Young Jeezy Featuring Akon
88,2006,89,Pump It,The Black Eyed Peas
89,2006,90,When I'm Gone,Eminem
90,2006,91,Hung Up,Madonna
91,2006,92,Stay Fly,Three 6 Mafia Featuring Young Buck & Eightball & MJG
92,2006,93,Love,Keyshia Cole
93,2006,94,When You're Mad,Ne-Yo
94,2006,95,Why You Wanna,T.I.
95,2006,96,Stupid Girls,P!nk
96,2006,97,Feel Good Inc,Gorillaz
97,2006,98,I'm Sprung,T-Pain
98,2006,99,Do I Make You Proud,Taylor Hicks
99,2007,1,Irreplaceable,Beyonce
100,2007,2,Umbrella,Rihanna Featuring Jay-Z
101,2007,3,The Sweet Escape,Gwen Stefani Featuring Akon
102,2007,4,Big Girls Don't Cry,Fergie
103,2007,5,Buy U A Drank (Shawty Snappin'),T-Pain Featuring Yung Joc
104,2007,6,Before He Cheats,Carrie Underwood
105,2007,7,Hey There Delilah,Plain White T's
106,2007,8,I Wanna Love You,Akon Featuring Snoop Dogg
107,2007,9,Say It Right,Nelly Furtado
108,2007,10,Glamorous,Fergie Featuring Ludacris
109,2007,11,Don't Matter,Akon
110,2007,12,Girlfriend,Avril Lavigne
111,2007,13,Makes Me Wonder,Maroon 5
112,2007,14,Party Like A Rockstar,Shop Boyz
113,2007,15,Smack That,Akon Featuring Eminem
114,2007,16,This Is Why I'm Hot,Mims
115,2007,17,It's Not Over,Daughtry
116,2007,18,The Way I Are,Timbaland Featuring Keri Hilson
117,2007,19,Fergalicious,Fergie
118,2007,20,Crank That (Soulja Boy),Soulja Boy Tell'em
119,2007,21,Give It To Me,Timbaland Featuring Nelly Furtado & Justin Timberlake
120,2007,22,What Goes Around...Comes Around,Justin Timberlake
121,2007,23,Cupid's Chokehold/Breakfast In America,Gym Class Heroes Featuring Patrick Stump
122,2007,24,How To Save A Life,The Fray
123,2007,25,Home,Daughtry
124,2007,26,My Love,Justin Timberlake Featuring T.I.
125,2007,27,Stronger,Kanye West
126,2007,28,We Fly High,Jim Jones
127,2007,29,U + Ur Hand,P!nk
128,2007,30,Walk It Out,Unk
129,2007,31,Beautiful Girls,Sean Kingston
130,2007,32,"This Ain't A Scene, It's An Arms Race",Fall Out Boy
131,2007,33,Bartender,T-Pain Featuring Akon
132,2007,34,"Pop, Lock & Drop It",Huey
133,2007,35,Runaway Love,Ludacris Featuring Mary J. Blige
134,2007,36,Rockstar,Nickelback
135,2007,37,Thnks Fr Th Mmrs,Fall Out Boy
136,2007,38,What I've Done,Linkin Park
137,2007,39,Summer Love,Justin Timberlake
138,2007,40,You,Lloyd Featuring Lil Wayne
139,2007,41,Wait For You,Elliott Yamin
140,2007,42,Last Night,Diddy Featuring Keyshia Cole
141,2007,43,Make It Rain,Fat Joe Featuring Lil Wayne
142,2007,44,Make Me Better,Fabolous Featuring Ne-Yo
143,2007,45,Ice Box,Omarion
144,2007,46,Lips Of An Angel,Hinder
145,2007,47,Waiting On The World To Change,John Mayer
146,2007,48,Lost Without U,Robin Thicke
147,2007,49,I'm A Flirt,R. Kelly Or Bow Wow (Featuring T.I. & T-Pain)
148,2007,50,If Everyone Cared,Nickelback
149,2007,51,Get It Shawty,Lloyd
150,2007,52,Face Down,The Red Jumpsuit Apparatus
151,2007,53,The Way I Live,Baby Boy Da Prince Featuring Lil Boosie
152,2007,54,Shortie Like Mine,Bow Wow Featuring Chris Brown & Johnta Austin
153,2007,55,It Ends Tonight,The All-American Rejects
154,2007,56,A Bay Bay,Hurricane Chris
155,2007,57,Because Of You,Ne-Yo
156,2007,58,I Tried,Bone Thugs-N-Harmony Featuring Akon
157,2007,59,Welcome To The Black Parade,My Chemical Romance
158,2007,60,Shawty,Plies Featuring T-Pain
159,2007,61,Chasing Cars,Snow Patrol
160,2007,62,Beautiful Liar,Beyonce & Shakira
161,2007,63,SexyBack,Justin Timberlake
162,2007,64,Keep Holding On,Avril Lavigne
163,2007,65,Let It Go,Keyshia Cole Featuring Missy Elliott & Lil Kim
164,2007,66,Apologize,Timbaland Featuring OneRepublic
165,2007,67,Bubbly,Colbie Caillat
166,2007,68,Like A Boy,Ciara
167,2007,69,Who Knew,P!nk
168,2007,70,Never Again,Kelly Clarkson
169,2007,71,Promise,Ciara
170,2007,72,Bed,J. Holiday
171,2007,73,Throw Some D's,Rich Boy Featuring Polow Da Don
172,2007,74,Rehab,Amy Winehouse
173,2007,75,Big Things Poppin' (Do It),T.I.
174,2007,76,No One,Alicia Keys
175,2007,77,The Great Escape,Boys Like Girls
176,2007,78,2 Step,Unk
177,2007,79,Walk Away (Remember Me),Paula DeAnda Featuring The DEY
178,2007,80,Go Getta,Young Jeezy Featuring R. Kelly
179,2007,81,Here (In Your Arms),Hellogoodbye
180,2007,82,On The Hotline,Pretty Ricky
181,2007,83,Wind It Up,Gwen Stefani
182,2007,84,Cyclone,Baby Bash Featuring T-Pain
183,2007,85,Break It Off,Rihanna & Sean Paul
184,2007,86,First Time,Lifehouse
185,2007,87,Ayo Technology,50 Cent Featuring Justin Timberlake & Timbaland
186,2007,88,Outta My System,Bow Wow Featuring T-Pain & Johnta Austin
187,2007,89,Teardrops On My Guitar,Taylor Swift
188,2007,90,Shut Up And Drive,Rihanna
189,2007,91,Snow ((Hey Oh)),Red Hot Chili Peppers
190,2007,92,Money Maker,Ludacris Featuring Pharrell
191,2007,93,Kiss Kiss,Chris Brown Featuring T-Pain
192,2007,94,Far Away,Nickelback
193,2007,95,Rock Yo Hips,Crime Mob Featuring Lil Scrappy
194,2007,96,LoveStoned,Justin Timberlake
195,2007,97,Better Than Me,Hinder
196,2007,98,Paralyzer,Finger Eleven
197,2007,99,That's That,Snoop Dogg Featuring R. Kelly
198,2008,1,Low,Flo Rida Featuring T-Pain
199,2008,2,Bleeding Love,Leona Lewis
200,2008,3,No One,Alicia Keys
201,2008,4,Lollipop,Lil Wayne Featuring Static Major
202,2008,5,Apologize,Timbaland Featuring OneRepublic
203,2008,6,No Air,Jordin Sparks Duet With Chris Brown
204,2008,7,Love Song,Sara Bareilles
205,2008,8,Love In This Club,Usher Featuring Young Jeezy
206,2008,9,With You,Chris Brown
207,2008,10,Forever,Chris Brown
208,2008,11,Sexy Can I,Ray J & Yung Berg
209,2008,12,Take A Bow,Rihanna
210,2008,13,Viva La Vida,Coldplay
211,2008,14,I Kissed A Girl,Katy Perry
212,2008,15,Whatever You Like,T.I.
213,2008,16,Disturbia,Rihanna
214,2008,17,Don't Stop The Music,Rihanna
215,2008,18,Pocketful Of Sunshine,Natasha Bedingfield
216,2008,19,Kiss Kiss,Chris Brown Featuring T-Pain
217,2008,20,Closer,Ne-Yo
218,2008,21,Bubbly,Colbie Caillat
219,2008,22,Touch My Body,Mariah Carey
220,2008,23,4 Minutes,Madonna Featuring Justin Timberlake & Timbaland
221,2008,24,So What,P!nk
222,2008,25,Paralyzer,Finger Eleven
223,2008,26,Clumsy,Fergie
224,2008,27,I'm Yours,Jason Mraz
225,2008,28,Leavin',Jesse McCartney
226,2008,29,Dangerous,Kardinal Offishall Featuring Akon
227,2008,30,Tattoo,Jordin Sparks
228,2008,31,See You Again,Miley Cyrus
229,2008,32,Shake It,Metro Station
230,2008,33,Stop And Stare,OneRepublic
231,2008,34,Take You There,Sean Kingston
232,2008,35,Paper Planes,M.I.A.
233,2008,36,Hot N Cold,Katy Perry
234,2008,37,Live Your Life,T.I. Featuring Rihanna
235,2008,38,Bust It Baby Part 2,Plies Featuring Ne-Yo
236,2008,39,American Boy,Estelle Featuring Kanye West
237,2008,40,Got Money,Lil Wayne Featuring T-Pain
238,2008,41,Our Song,Taylor Swift
239,2008,42,Damaged,Danity Kane
240,2008,43,A Milli,Lil Wayne
241,2008,44,Sorry,Buckcherry
242,2008,45,Independent,Webbie Featuring Lil' Phat & Lil' Boosie
243,2008,46,Can't Believe It,T-Pain Featuring Lil Wayne
244,2008,47,Like You'll Never See Me Again,Alicia Keys
245,2008,48,Teardrops On My Guitar,Taylor Swift
246,2008,49,When I Grow Up,The Pussycat Dolls
247,2008,50,Sensual Seduction,Snoop Dogg
248,2008,51,What You Got,Colby O'Donis Featuring Akon
249,2008,52,It's Not My Time,3 Doors Down
250,2008,53,Better In Time,Leona Lewis
251,2008,54,Crank That (Soulja Boy),Soulja Boy Tell'em
252,2008,55,Shadow Of The Day,Linkin Park
253,2008,56,Sweetest Girl (Dollar Bill),"Wyclef Jean Featuring Akon, Lil Wayne & Niia"
254,2008,57,Miss Independent,Ne-Yo
255,2008,58,Fall For You,Secondhand Serenade
256,2008,59,In The Ayer,Flo Rida Featuring will.i.am
257,2008,60,Say,John Mayer
258,2008,61,One Step At A Time,Jordin Sparks
259,2008,62,Hate That I Love You,Rihanna Featuring Ne-Yo
260,2008,63,Superstar,Lupe Fiasco Featuring Matthew Santos
261,2008,64,Suffocate,J. Holiday
262,2008,65,Let It Rock,Kevin Rudolf Featuring Lil Wayne
263,2008,66,Get Like Me,David Banner Featuring Chris Brown
264,2008,67,Realize,Colbie Caillat
265,2008,68,Put On,Young Jeezy Featuring Kanye West
266,2008,69,The Time Of My Life,David Cook
267,2008,70,Lolli Lolli (Pop That Body),"Three 6 Mafia Featuring Project Pat, Young D & Superpower"
268,2008,71,Cyclone,Baby Bash Featuring T-Pain
269,2008,72,Love Like This,Natasha Bedingfield Featuring Sean Kingston
270,2008,73,Burnin' Up,Jonas Brothers
271,2008,74,Love Lockdown,Kanye West
272,2008,75,I Luv Your Girl,The-Dream
273,2008,76,Crush,David Archuleta
274,2008,77,Hypnotized,Plies Featuring Akon
275,2008,78,Big Girls Don't Cry,Fergie
276,2008,79,Good Life,Kanye West Featuring T-Pain
277,2008,80,Womanizer,Britney Spears
278,2008,81,Love Story,Taylor Swift
279,2008,82,Just Fine,Mary J. Blige
280,2008,83,Piece Of Me,Britney Spears
281,2008,84,The Boss,Rick Ross Featuring T-Pain
282,2008,85,All Summer Long,Kid Rock
283,2008,86,Can't Help But Wait,Trey Songz
284,2008,87,In Love With A Girl,Gavin DeGraw
285,2008,88,My Life,The Game Featuring Lil Wayne
286,2008,89,I Remember,Keyshia Cole
287,2008,90,Flashing Lights,Kanye West Featuring Dwele
288,2008,91,Mrs. Officer,Lil Wayne Featuring Bobby Valentino & Kidd Kidd
289,2008,92,7 Things,Miley Cyrus
290,2008,93,You're Gonna Miss This,Trace Adkins
291,2008,94,Love Remains The Same,Gavin Rossdale
292,2008,95,Feels Like Tonight,Daughtry
293,2008,96,The Way I Are,Timbaland Featuring Keri Hilson
294,2008,97,Addicted,Saving Abel
295,2008,98,Into The Night,Santana Featuring Chad Kroeger
296,2008,99,Heaven Sent,Keyshia Cole
297,2009,1,Boom Boom Pow,The Black Eyed Peas
298,2009,2,Poker Face,Lady Gaga
299,2009,3,Just Dance,Lady Gaga Featuring Colby O'Donis
300,2009,4,I Gotta Feeling,The Black Eyed Peas
301,2009,5,Love Story,Taylor Swift
302,2009,6,Right Round,Flo Rida
303,2009,7,I'm Yours,Jason Mraz
304,2009,8,Single Ladies (Put A Ring On It),Beyonce
305,2009,9,Heartless,Kanye West
306,2009,10,Gives You Hell,The All-American Rejects
307,2009,11,You Belong With Me,Taylor Swift
308,2009,12,Dead And Gone,T.I. Featuring Justin Timberlake
309,2009,13,You Found Me,The Fray
310,2009,14,Use Somebody,Kings Of Leon
311,2009,15,Knock You Down,Keri Hilson Featuring Kanye West & Ne-Yo
312,2009,16,Blame It,Jamie Foxx Featuring T-Pain
313,2009,17,I Know You Want Me (Calle Ocho),Pitbull
314,2009,18,Live Your Life,T.I. Featuring Rihanna
315,2009,19,Kiss Me Thru The Phone,Soulja Boy Tell 'em Featuring Sammie
316,2009,20,Down,Jay Sean Featuring Lil Wayne
317,2009,21,The Climb,Miley Cyrus
318,2009,22,Best I Ever Had,Drake
319,2009,23,My Life Would Suck Without You,Kelly Clarkson
320,2009,24,Halo,Beyonce
321,2009,25,Hot N Cold,Katy Perry
322,2009,26,Second Chance,Shinedown
323,2009,27,Circus,Britney Spears
324,2009,28,Day 'N' Nite,Kid Cudi
325,2009,29,Party In The U.S.A.,Miley Cyrus
326,2009,30,Don't Trust Me,3OH!3
327,2009,31,Run This Town,"Jay-Z, Rihanna & Kanye West"
328,2009,32,Let It Rock,Kevin Rudolf Featuring Lil Wayne
329,2009,33,Fire Burning,Sean Kingston
330,2009,34,Whatcha Say,Jason Derulo
331,2009,35,LoveGame,Lady Gaga
332,2009,36,Waking Up In Vegas,Katy Perry
333,2009,37,Birthday Sex,Jeremih
334,2009,38,Sober,P!nk
335,2009,39,Womanizer,Britney Spears
336,2009,40,Whatever You Like,T.I.
337,2009,41,Obsessed,Mariah Carey
338,2009,42,Mad,Ne-Yo
339,2009,43,Good Girls Go Bad,Cobra Starship Featuring Leighton Meester
340,2009,44,Love Lockdown,Kanye West
341,2009,45,So What,P!nk
342,2009,46,Hotel Room Service,Pitbull
343,2009,47,Crack A Bottle,"Eminem, Dr. Dre & 50 Cent"
344,2009,48,If I Were A Boy,Beyonce
345,2009,49,Turnin Me On,Keri Hilson Featuring Lil Wayne
346,2009,50,I Hate This Part,The Pussycat Dolls
347,2009,51,Gotta Be Somebody,Nickelback
348,2009,52,Please Don't Leave Me,P!nk
349,2009,53,Paparazzi,Lady Gaga
350,2009,54,Beautiful,Akon Featuring Colby O'Donis & Kardinal Offishall
351,2009,55,Viva La Vida,Coldplay
352,2009,56,Right Now (Na Na Na),Akon
353,2009,57,Battlefield,Jordin Sparks
354,2009,58,Sugar,Flo Rida Featuring Wynter
355,2009,59,Miss Independent,Ne-Yo
356,2009,60,Fireflies,Owl City
357,2009,61,New Divide,Linkin Park
358,2009,62,Empire State Of Mind,Jay-Z + Alicia Keys
359,2009,63,No Surprise,Daughtry
360,2009,64,She Wolf,Shakira
361,2009,65,Break Up,Mario Featuring Gucci Mane & Sean Garrett
362,2009,66,Sweet Dreams,Beyonce
363,2009,67,Every Girl,Young Money
364,2009,68,Fallin' For You,Colbie Caillat
365,2009,69,Untouched,The Veronicas
366,2009,70,If Today Was Your Last Day,Nickelback
367,2009,71,Throw It In The Bag,Fabolous Featuring The-Dream
368,2009,72,Love Drunk,Boys Like Girls
369,2009,73,I Love College,Asher Roth
370,2009,74,If U Seek Amy,Britney Spears
371,2009,75,Big Green Tractor,Jason Aldean
372,2009,76,White Horse,Taylor Swift
373,2009,77,Disturbia,Rihanna
374,2009,78,21 Guns,Green Day
375,2009,79,Turn My Swag On,Soulja Boy Tell'em
376,2009,80,Rockin' That Thang,The-Dream
377,2009,81,Chicken Fried,Zac Brown Band
378,2009,82,Diva,Beyonce
379,2009,83,Replay,Iyaz
380,2009,84,Then,Brad Paisley
381,2009,85,Her Diamonds,Rob Thomas
382,2009,86,How Do You Sleep?,Jesse McCartney Featuring Ludacris
383,2009,87,3,Britney Spears
384,2009,88,Forever,"Drake Featuring Kanye West, Lil Wayne & Eminem"
385,2009,89,One Time,Justin Bieber
386,2009,90,I Run To You,Lady Antebellum
387,2009,91,I Do Not Hook Up,Kelly Clarkson
388,2009,92,Green Light,John Legend Featuring Andre 3000
389,2009,93,People Are Crazy,Billy Currington
390,2009,94,Whatever It Is,Zac Brown Band
391,2009,95,Already Gone,Kelly Clarkson
392,2009,96,Goodbye,Kristinia DeBarge
393,2009,97,Say Hey (I Love You),Michael Franti & Spearhead Featuring Cherine Anderson
394,2009,98,Pop Champagne,Jim Jones & Ron Browz Featuring Juelz Santana
395,2009,99,Pretty Wings,Maxwell
396,2010,1,TiK ToK,Ke$ha
397,2010,2,Need You Now,Lady Antebellum
398,2010,3,"Hey, Soul Sister",Train
399,2010,4,California Gurls,Katy Perry Featuring Snoop Dogg
400,2010,5,OMG,Usher Featuring will.i.am
401,2010,6,Airplanes,B.o.B Featuring Hayley Williams
402,2010,7,Love The Way You Lie,Eminem Featuring Rihanna
403,2010,8,Bad Romance,Lady Gaga
404,2010,9,Dynamite,Taio Cruz
405,2010,10,Break Your Heart,Taio Cruz Featuring Ludacris
406,2010,11,Nothin' On You,B.o.B Featuring Bruno Mars
407,2010,12,I Like It,Enrique Iglesias Featuring Pitbull
408,2010,13,BedRock,Young Money Featuring Lloyd
409,2010,14,In My Head,Jason Derulo
410,2010,15,Rude Boy,Rihanna
411,2010,16,Telephone,Lady Gaga Featuring Beyonce
412,2010,17,Teenage Dream,Katy Perry
413,2010,18,Just The Way You Are,Bruno Mars
414,2010,19,Cooler Than Me,Mike Posner
415,2010,20,Imma Be,The Black Eyed Peas
416,2010,21,Empire State Of Mind,Jay-Z + Alicia Keys
417,2010,22,DJ Got Us Fallin' In Love,Usher Featuring Pitbull
418,2010,23,Billionaire,Travie McCoy Featuring Bruno Mars
419,2010,24,Not Afraid,Eminem
420,2010,25,Replay,Iyaz
421,2010,26,Sexy Chick,David Guetta Featuring Akon
422,2010,27,Breakeven,The Script
423,2010,28,Your Love Is My Drug,Ke$ha
424,2010,29,I Gotta Feeling,The Black Eyed Peas
425,2010,30,Fireflies,Owl City
426,2010,31,Say Aah,Trey Songz Featuring Fabolous
427,2010,32,Find Your Love,Drake
428,2010,33,Alejandro,Lady Gaga
429,2010,34,Ridin' Solo,Jason Derulo
430,2010,35,Just A Dream,Nelly
431,2010,36,How Low,Ludacris
432,2010,37,Like A G6,Far*East Movement Featuring Cataracs & Dev
433,2010,38,Carry Out,Timbaland Featuring Justin Timberlake
434,2010,39,Haven't Met You Yet,Michael Buble
435,2010,40,Club Can't Handle Me,Flo Rida Featuring David Guetta
436,2010,41,Down,Jay Sean Featuring Lil Wayne
437,2010,42,Bulletproof,La Roux
438,2010,43,Whatcha Say,Jason Derulo
439,2010,44,Baby,Justin Bieber Featuring Ludacris
440,2010,45,Whataya Want From Me,Adam Lambert
441,2010,46,Mine,Taylor Swift
442,2010,47,Only Girl (In The World),Rihanna
443,2010,48,Live Like We're Dying,Kris Allen
444,2010,49,Hard,Rihanna Featuring Jeezy
445,2010,50,Young Forever,Jay-Z + Mr. Hudson
446,2010,51,Blah Blah Blah,Ke$ha Featuring 3OH!3
447,2010,52,Bottoms Up,Trey Songz Featuring Nicki Minaj
448,2010,53,Do You Remember,Jay Sean Featuring Sean Paul & Lil Jon
449,2010,54,All The Right Moves,OneRepublic
450,2010,55,According To You,Orianthi
451,2010,56,My Chick Bad,Ludacris Featuring Nicki Minaj
